timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,client_id,username,action,topic,qos,tls_enabled,result,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:18,MQTTS,D_DMZ_11,D_DMZ_11,C3_L3_02,10.71.7.124,10.43.7.113,client-2545,mes,CONNECT,,,1,OK,153,116,702
2025-09-02T08:00:43,MQTTS,D_DMZ_04,D_DMZ_04,C3_L3_10,10.66.6.105,10.36.10.168,client-5252,mes,PUBLISH,status/plc,2,1,OK,138,378,512
2025-09-02T08:01:07,MQTTS,D_DMZ_06,D_DMZ_06,C3_L3_12,10.96.10.167,10.186.12.201,client-2149,mes,DISCONNECT,,,1,OK,464,629,227
2025-09-02T08:01:29,MQTTS,D_DMZ_09,D_DMZ_09,C3_L3_05,10.15.14.236,10.213.4.79,client-9663,plc,SUBSCRIBE,alerts/lineA,1,1,OK,156,410,712
2025-09-02T08:02:47,MQTTS,D_DMZ_06,D_DMZ_06,C3_L3_12,10.96.10.167,10.186.12.201,client-6882,plc,PUBLISH,status/plc,2,1,OK,259,266,460
2025-09-02T08:02:51,MQTTS,D_DMZ_04,D_DMZ_04,C3_L3_10,10.66.6.105,10.36.10.168,client-1261,collector,PUBLISH,cmd/actuator,2,1,OK,75,608,522
2025-09-02T08:03:06,MQTTS,D_DMZ_04,D_DMZ_04,C3_L3_10,10.66.6.105,10.36.10.168,client-2421,,DISCONNECT,,,1,OK,114,176,635
2025-09-02T08:03:08,MQTTS,D_DMZ_04,D_DMZ_04,C3_L3_10,10.66.6.105,10.36.10.168,client-9017,,PINGREQ,,,1,OK,83,417,495
2025-09-02T08:03:12,MQTTS,D_DMZ_04,D_DMZ_04,C3_L3_10,10.66.6.105,10.36.10.168,client-3239,mes,PUBLISH,cmd/actuator,0,1,OK,140,488,358
2025-09-02T08:03:21,MQTTS,D_DMZ_11,D_DMZ_11,C3_L3_02,10.71.7.124,10.43.7.113,client-9258,,CONNECT,,,1,OK,241,405,723
2025-09-02T08:03:53,MQTTS,D_DMZ_04,D_DMZ_04,C3_L3_10,10.66.6.105,10.36.10.168,client-7312,collector,PUBLISH,telemetry/PLC1,2,1,OK,89,489,217
