timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,pdu_type,service,area,db_number,start,size,result,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:09,S7comm,C2_L2_09,C2_L2_09,C1_L1_12,10.189.6.99,10.171.15.251,ack,PLCControl,DB,76,636,241,OK,128,429,382
2025-09-02T08:01:54,S7comm,C2_L2_09,C2_L2_09,C1_L1_18,10.189.6.99,10.50.0.9,job,PLCControl,M,359,1903,190,OK,125,408,618
2025-09-02T08:02:18,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,user_data,PLCControl,M,334,3473,57,OK,180,453,881
2025-09-02T08:02:20,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,user_data,WriteVar,DB,342,843,75,OK,234,458,522
2025-09-02T08:02:24,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,job,Stop,I,470,2675,146,OK,88,540,620
2025-09-02T08:02:29,S7comm,C2_L2_05,C2_L2_05,C1_L1_04,10.89.4.71,10.204.13.222,user_data,WriteVar,Q,292,1905,60,OK,110,376,556
2025-09-02T08:02:42,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,ack,ProgramBlock,Q,407,2013,13,OK,151,484,913
2025-09-02T08:02:56,S7comm,C2_L2_09,C2_L2_09,C1_L1_12,10.189.6.99,10.171.15.251,ack,Start,DB,492,1461,168,Error,109,462,724
2025-09-02T08:03:12,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,job,ProgramBlock,I,317,2765,244,OK,194,453,461
2025-09-02T08:03:34,S7comm,C2_L2_09,C2_L2_09,C1_L1_12,10.189.6.99,10.171.15.251,user_data,WriteVar,M,444,1355,154,OK,237,404,271
2025-09-02T08:03:52,S7comm,C2_L2_05,C2_L2_05,C1_L1_04,10.89.4.71,10.204.13.222,ack,Start,M,168,1949,253,OK,239,390,735
2025-09-02T08:04:04,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,ack,Stop,DB,152,2361,31,OK,464,396,823
2025-09-02T08:04:43,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,ack,ProgramBlock,M,202,3458,4,OK,222,409,572
2025-09-02T08:04:55,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,ack,ProgramBlock,I,199,343,224,OK,103,201,435
2025-09-02T08:05:05,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,job,WriteVar,Q,113,2557,196,OK,221,429,777
2025-09-02T08:05:15,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,ack,PLCControl,M,346,977,103,OK,74,447,469
2025-09-02T08:05:25,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,ack,WriteVar,M,129,1794,120,OK,246,292,832
2025-09-02T08:05:41,S7comm,C2_L2_04,C2_L2_04,C1_L1_09,10.205.8.132,10.109.1.17,job,Stop,I,376,2474,223,OK,84,264,312
2025-09-02T08:06:01,S7comm,C2_L2_04,C2_L2_04,C1_L1_09,10.205.8.132,10.109.1.17,user_data,ProgramBlock,Q,436,1660,175,OK,182,505,822
2025-09-02T08:06:24,S7comm,C2_L2_05,C2_L2_05,C1_L1_04,10.89.4.71,10.204.13.222,user_data,PLCControl,M,354,981,147,OK,224,309,482
2025-09-02T08:06:50,S7comm,C2_L2_09,C2_L2_09,C1_L1_12,10.189.6.99,10.171.15.251,job,PLCControl,M,247,1393,224,OK,175,286,610
2025-09-02T08:06:50,S7comm,C2_L2_14,C2_L2_14,C1_L1_19,10.129.12.194,10.246.13.223,ack,PLCControl,M,156,2075,187,Error,311,546,643
2025-09-02T08:06:57,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,user_data,PLCControl,M,183,1584,186,OK,61,272,512
2025-09-02T08:08:16,S7comm,C2_L2_09,C2_L2_09,C1_L1_18,10.189.6.99,10.50.0.9,user_data,WriteVar,I,377,370,185,OK,215,172,673
2025-09-02T08:08:27,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,ack,ProgramBlock,M,195,1824,195,OK,237,474,649
2025-09-02T08:09:09,S7comm,C2_L2_14,C2_L2_14,C1_L1_19,10.129.12.194,10.246.13.223,user_data,ReadVar,M,173,3093,162,Error,942,559,730
2025-09-02T08:09:22,S7comm,C2_L2_09,C2_L2_09,C1_L1_12,10.189.6.99,10.171.15.251,ack,ReadVar,I,380,2772,195,Error,345,287,377
2025-09-02T08:09:58,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,job,ReadVar,M,399,654,2,OK,199,417,839
2025-09-02T08:10:35,S7comm,C2_L2_09,C2_L2_09,C1_L1_18,10.189.6.99,10.50.0.9,job,Stop,I,408,1879,51,OK,79,418,269
2025-09-02T08:11:06,S7comm,C2_L2_14,C2_L2_14,C1_L1_19,10.129.12.194,10.246.13.223,user_data,ReadVar,Q,489,981,42,OK,152,442,584
2025-09-02T08:11:48,S7comm,C2_L2_09,C2_L2_09,C1_L1_18,10.189.6.99,10.50.0.9,user_data,Start,M,454,976,210,Error,141,502,699
2025-09-02T08:12:09,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,user_data,Start,Q,170,2282,114,OK,164,501,576
2025-09-02T08:12:14,S7comm,C2_L2_09,C2_L2_09,C1_L1_18,10.189.6.99,10.50.0.9,job,ReadVar,M,110,2391,251,OK,252,486,843
2025-09-02T08:13:29,S7comm,C2_L2_05,C2_L2_05,C1_L1_04,10.89.4.71,10.204.13.222,ack,ReadVar,M,474,1138,75,Error,324,436,449
2025-09-02T08:13:45,S7comm,C2_L2_05,C2_L2_05,C1_L1_04,10.89.4.71,10.204.13.222,ack,ReadVar,Q,462,2317,51,OK,153,495,958
2025-09-02T08:14:59,S7comm,C2_L2_14,C2_L2_14,C1_L1_19,10.129.12.194,10.246.13.223,user_data,Stop,DB,212,2857,109,OK,182,572,716
2025-09-02T08:15:14,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,job,WriteVar,M,160,2492,194,Error,217,347,482
2025-09-02T08:15:25,S7comm,C2_L2_09,C2_L2_09,C1_L1_12,10.189.6.99,10.171.15.251,user_data,Stop,Q,166,1063,13,OK,111,373,656
2025-09-02T08:15:37,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,job,ReadVar,DB,484,1054,152,OK,127,431,496
2025-09-02T08:15:46,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,job,WriteVar,DB,86,1935,183,OK,192,489,749
2025-09-02T08:15:46,S7comm,C2_L2_09,C2_L2_09,C1_L1_18,10.189.6.99,10.50.0.9,ack,ReadVar,Q,358,3458,68,OK,48,458,654
2025-09-02T08:16:03,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,ack,PLCControl,Q,329,1804,1,OK,221,350,930
2025-09-02T08:16:15,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,ack,Stop,M,279,2766,245,OK,71,456,450
2025-09-02T08:16:26,S7comm,C2_L2_04,C2_L2_04,C1_L1_09,10.205.8.132,10.109.1.17,user_data,PLCControl,M,214,3423,102,OK,54,620,749
2025-09-02T08:16:44,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,user_data,PLCControl,Q,70,4072,30,OK,199,468,610
2025-09-02T08:16:52,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,user_data,Start,M,74,2799,23,OK,476,513,805
2025-09-02T08:16:59,S7comm,C2_L2_09,C2_L2_09,C1_L1_12,10.189.6.99,10.171.15.251,ack,PLCControl,I,377,1583,139,OK,325,461,634
2025-09-02T08:17:01,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,job,Start,I,183,3788,16,OK,137,490,148
2025-09-02T08:18:30,S7comm,C2_L2_04,C2_L2_04,C1_L1_09,10.205.8.132,10.109.1.17,job,ReadVar,Q,101,1747,189,OK,83,368,688
2025-09-02T08:18:33,S7comm,C2_L2_14,C2_L2_14,C1_L1_06,10.129.12.194,10.73.10.165,job,ProgramBlock,M,15,3439,132,Error,312,258,551
2025-09-02T08:19:46,S7comm,C2_L2_05,C2_L2_05,C1_L1_04,10.89.4.71,10.204.13.222,job,ReadVar,I,118,59,46,OK,87,376,659
2025-09-02T08:20:44,S7comm,C2_L2_10,C2_L2_10,C1_L1_08,10.34.3.56,10.150.0.12,ack,Start,DB,356,1546,226,OK,278,437,408
