timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,security_protocol,username,result,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:57,RDP,E_ENT_04,E_ENT_04,D_DMZ_10,10.104.8.142,10.22.4.65,NLA,operatorA,Success,65,308,613
2025-09-02T08:01:07,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,NLA,operatorB,Success,116,39,451
2025-09-02T08:03:01,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,CredSSP,operatorB,Success,230,381,632
2025-09-02T08:03:23,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,TLS,svc_rdp,Failure,119,417,381
2025-09-02T08:03:55,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,NLA,operatorB,Success,424,569,748
2025-09-02T08:04:04,RDP,E_ENT_01,E_ENT_01,D_DMZ_05,10.39.8.128,10.61.8.136,CredSSP,operatorA,Success,56,441,650
2025-09-02T08:04:17,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,CredSSP,it_admin,Success,129,365,698
2025-09-02T08:04:37,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,CredSSP,it_admin,Success,513,416,691
2025-09-02T08:05:02,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,TLS,operatorA,Success,113,413,491
2025-09-02T08:06:36,RDP,E_ENT_09,E_ENT_09,D_DMZ_11,10.136.12.207,10.71.7.124,CredSSP,it_admin,Success,120,417,555
2025-09-02T08:06:38,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,NLA,operatorA,Success,173,113,477
2025-09-02T08:06:50,RDP,E_ENT_04,E_ENT_04,D_DMZ_02,10.104.8.142,10.99.8.143,CredSSP,it_admin,Success,255,267,677
2025-09-02T08:08:44,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,CredSSP,operatorA,Success,428,161,461
2025-09-02T08:08:49,RDP,E_ENT_08,E_ENT_08,D_DMZ_06,10.96.11.182,10.96.10.167,TLS,it_admin,Success,270,556,736
2025-09-02T08:08:50,RDP,E_ENT_09,E_ENT_09,D_DMZ_11,10.136.12.207,10.71.7.124,TLS,svc_rdp,Success,71,398,627
2025-09-02T08:09:11,RDP,E_ENT_09,E_ENT_09,D_DMZ_11,10.136.12.207,10.71.7.124,NLA,operatorA,Success,174,414,454
2025-09-02T08:09:58,RDP,E_ENT_08,E_ENT_08,D_DMZ_06,10.96.11.182,10.96.10.167,NLA,it_admin,Success,57,435,583
2025-09-02T08:09:59,RDP,E_ENT_09,E_ENT_09,D_DMZ_09,10.136.12.207,10.15.14.236,CredSSP,it_admin,Success,69,453,758
2025-09-02T08:10:16,RDP,E_ENT_01,E_ENT_01,D_DMZ_05,10.39.8.128,10.61.8.136,NLA,svc_rdp,Success,312,327,515
2025-09-02T08:10:47,RDP,E_ENT_04,E_ENT_04,D_DMZ_10,10.104.8.142,10.22.4.65,CredSSP,operatorA,Success,247,198,502
2025-09-02T08:11:41,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,CredSSP,operatorB,Success,224,508,430
2025-09-02T08:12:02,RDP,E_ENT_09,E_ENT_09,D_DMZ_11,10.136.12.207,10.71.7.124,CredSSP,it_admin,Success,85,385,597
2025-09-02T08:12:51,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,NLA,it_admin,Success,133,409,798
2025-09-02T08:13:17,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,TLS,operatorA,Success,60,596,633
2025-09-02T08:14:08,RDP,E_ENT_09,E_ENT_09,D_DMZ_09,10.136.12.207,10.15.14.236,NLA,it_admin,Success,229,478,681
2025-09-02T08:14:15,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,CredSSP,svc_rdp,Success,239,578,494
2025-09-02T08:14:40,RDP,E_ENT_09,E_ENT_09,D_DMZ_09,10.136.12.207,10.15.14.236,NLA,svc_rdp,Success,318,320,540
2025-09-02T08:15:34,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,CredSSP,it_admin,Success,40,409,278
2025-09-02T08:15:40,RDP,E_ENT_08,E_ENT_08,D_DMZ_06,10.96.11.182,10.96.10.167,NLA,svc_rdp,Success,86,326,608
2025-09-02T08:15:43,RDP,E_ENT_01,E_ENT_01,D_DMZ_05,10.39.8.128,10.61.8.136,CredSSP,operatorA,Failure,82,307,460
2025-09-02T08:16:01,RDP,E_ENT_09,E_ENT_09,D_DMZ_09,10.136.12.207,10.15.14.236,NLA,operatorB,Success,204,397,677
2025-09-02T08:16:23,RDP,E_ENT_14,E_ENT_14,D_DMZ_06,10.242.5.80,10.96.10.167,NLA,operatorA,Success,280,487,488
2025-09-02T08:17:16,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,TLS,it_admin,Success,191,237,682
2025-09-02T08:17:50,RDP,E_ENT_04,E_ENT_04,D_DMZ_10,10.104.8.142,10.22.4.65,NLA,it_admin,Success,113,480,596
2025-09-02T08:18:11,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,CredSSP,it_admin,Success,157,222,495
2025-09-02T08:18:58,RDP,E_ENT_09,E_ENT_09,D_DMZ_09,10.136.12.207,10.15.14.236,TLS,operatorB,Success,127,307,779
2025-09-02T08:19:22,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,TLS,operatorB,Success,334,474,743
2025-09-02T08:19:35,RDP,E_ENT_09,E_ENT_09,D_DMZ_11,10.136.12.207,10.71.7.124,NLA,operatorA,Success,189,101,584
2025-09-02T08:20:32,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,CredSSP,operatorA,Success,66,569,799
2025-09-02T08:21:02,RDP,E_ENT_04,E_ENT_04,D_DMZ_10,10.104.8.142,10.22.4.65,TLS,svc_rdp,Success,479,427,737
2025-09-02T08:21:24,RDP,E_ENT_09,E_ENT_09,D_DMZ_11,10.136.12.207,10.71.7.124,NLA,svc_rdp,Success,140,282,424
2025-09-02T08:21:30,RDP,E_ENT_09,E_ENT_09,D_DMZ_09,10.136.12.207,10.15.14.236,TLS,operatorA,Success,148,397,620
2025-09-02T08:21:35,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,TLS,it_admin,Success,126,288,554
2025-09-02T08:22:05,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,TLS,it_admin,Success,189,488,196
2025-09-02T08:22:36,RDP,E_ENT_09,E_ENT_09,D_DMZ_11,10.136.12.207,10.71.7.124,TLS,operatorA,Success,153,411,555
2025-09-02T08:23:22,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,TLS,svc_rdp,Success,176,597,776
2025-09-02T08:23:29,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,TLS,operatorA,Failure,501,383,771
2025-09-02T08:23:59,RDP,E_ENT_10,E_ENT_10,D_DMZ_05,10.221.8.133,10.61.8.136,NLA,operatorB,Success,66,388,222
2025-09-02T08:24:12,RDP,E_ENT_01,E_ENT_01,D_DMZ_05,10.39.8.128,10.61.8.136,TLS,it_admin,Success,71,322,522
2025-09-02T08:24:35,RDP,E_ENT_09,E_ENT_09,D_DMZ_09,10.136.12.207,10.15.14.236,TLS,operatorA,Success,127,82,590
2025-09-02T08:25:57,RDP,E_ENT_03,E_ENT_03,D_DMZ_05,10.176.15.254,10.61.8.136,TLS,it_admin,Success,289,500,815
2025-09-02T08:27:02,RDP,E_ENT_01,E_ENT_01,D_DMZ_05,10.39.8.128,10.61.8.136,NLA,it_admin,Success,226,474,570
