timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,method,url,auth_method,http_status,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:26,HTTPS,C3_L3_11,C3_L3_11,C2_L2_03,10.167.6.98,10.243.1.26,PUT,https://10.243.1.26/api/metrics,Basic,400,110,389,735
2025-09-02T08:00:30,HTTPS,D_DMZ_09,D_DMZ_09,C3_L3_12,10.15.14.236,10.186.12.201,HEAD,https://10.186.12.201/api/control,MutualTLS,200,168,344,661
2025-09-02T08:01:08,HTTPS,C3_L3_11,C3_L3_11,C2_L2_03,10.167.6.98,10.243.1.26,DELETE,https://10.243.1.26/api/tags,Bearer,404,171,500,404
2025-09-02T08:01:10,HTTPS,C3_L3_11,C3_L3_11,C2_L2_15,10.167.6.98,10.61.9.148,POST,https://10.61.9.148/api/control,Basic,400,245,391,706
2025-09-02T08:01:38,HTTPS,C3_L3_02,C3_L3_02,C2_L2_06,10.43.7.113,10.155.10.161,DELETE,https://10.155.10.161/api/tags,MutualTLS,200,199,519,769
2025-09-02T08:02:02,HTTPS,C2_L2_06,C2_L2_06,C1_L1_12,10.155.10.161,10.171.15.251,PUT,https://10.171.15.251/api/metrics,Basic,200,139,442,780
2025-09-02T08:02:17,HTTPS,C2_L2_10,C2_L2_10,C1_L1_14,10.34.3.56,10.159.3.51,POST,https://10.159.3.51/api/status,MutualTLS,200,80,317,572
2025-09-02T08:02:25,HTTPS,E_ENT_07,E_ENT_07,D_DMZ_12,10.74.9.148,10.20.11.189,GET,https://10.20.11.189/api/tags,Bearer,200,391,416,627
2025-09-02T08:02:42,HTTPS,D_DMZ_06,D_DMZ_06,C3_L3_04,10.96.10.167,10.175.6.98,GET,https://10.175.6.98/api/status,None,404,97,402,503
2025-09-02T08:03:15,HTTPS,C3_L3_12,C3_L3_12,C2_L2_13,10.186.12.201,10.87.4.64,POST,https://10.87.4.64/api/login,Basic,500,85,308,692
2025-09-02T08:03:24,HTTPS,C2_L2_06,C2_L2_06,C1_L1_12,10.155.10.161,10.171.15.251,PUT,https://10.171.15.251/api/status,None,200,167,477,522
2025-09-02T08:03:46,HTTPS,E_ENT_07,E_ENT_07,D_DMZ_12,10.74.9.148,10.20.11.189,HEAD,https://10.20.11.189/api/tags,MutualTLS,200,89,292,462
2025-09-02T08:04:36,HTTPS,C3_L3_11,C3_L3_11,C2_L2_03,10.167.6.98,10.243.1.26,PUT,https://10.243.1.26/api/tags,Bearer,401,217,347,749
2025-09-02T08:04:42,HTTPS,C3_L3_03,C3_L3_03,C2_L2_11,10.10.10.165,10.198.12.199,POST,https://10.198.12.199/api/tags,Bearer,204,76,377,765
2025-09-02T08:04:52,HTTPS,C3_L3_05,C3_L3_05,C2_L2_12,10.213.4.79,10.58.4.76,POST,https://10.58.4.76/api/tags,Bearer,400,137,543,415
2025-09-02T08:04:54,HTTPS,C3_L3_09,C3_L3_09,C2_L2_11,10.183.5.92,10.198.12.199,HEAD,https://10.198.12.199/api/metrics,MutualTLS,500,80,252,695
2025-09-02T08:06:42,HTTPS,C3_L3_03,C3_L3_03,C2_L2_11,10.10.10.165,10.198.12.199,GET,https://10.198.12.199/api/tags,None,403,140,274,756
